id,paragraph_id,content,paper_arxiv_id,paper_section
3102218,1,"Following prior works \citep{christiano2017deep,lee2021pebble,kang2024dpm}, we assume access to pairwise preference data. The data, collected from humans (or experts), consists of pairs of trajectories \((\sigma_1, \sigma_2)\)(\sigma_1, \sigma_2), where \(\sigma_1\)\sigma_1 is preferred over \(\sigma_2\)\sigma_2. Each trajectory \(\sigma\)\sigma is a sequence of joint (state, action) pairs: \(\sigma = \{(\mathbf{s}_1, \mathbf{a}_1), \ldots, (\mathbf{s}_K, \mathbf{a}_K)\}\)\sigma = \{(\mathbf{s}_1, \mathbf{a}_1), \ldots, (\mathbf{s}_K, \mathbf{a}_K)\}. 
Let \(\mathcal{P}\)\mathcal{P} denote the preference dataset, comprising several pairwise comparisons \((\sigma_1, \sigma_2)\)(\sigma_1, \sigma_2). The goal of PbRL is to recover the underlying reward function and expert policies from \(\mathcal{P}\)\mathcal{P}.",2501.18944,Multi-agent Preference-based RL (PbRL)
3102253,1,"We construct a local Q-value network \( q_i(o_i, a_i | \psi_q) \) q_i(o_i, a_i | \psi_q)  and a local value network \( v_i(o_i | \psi_v) \) v_i(o_i | \psi_v) , where \( \psi_q \) \psi_q  and \( \psi_v \) \psi_v  are learnable parameters. The global Q and V functions are then aggregated using two mixing networks with a shared set of learnable parameters \( \theta \) \theta , formulated as follows:
\[
V_{\text{tot}}(\bo) = \mathcal{M}_\theta [\mathbf{v}(\bo | \psi_v)]; \quad Q_{\text{tot}}(\bo, \ba) = \mathcal{M}_\theta [\mathbf{q}(\bo, \ba | \psi_q)],
\]
V_{\text{tot}}\text{tot}(\bo) = \mathcal{M}_\theta [\mathbf{v}(\bo | \psi_v)]; \quad Q_{\text{tot}}\text{tot}(\bo, \ba) = \mathcal{M}_\theta [\mathbf{q}(\bo, \ba | \psi_q)],",2501.18944,Practical Algorithm
3102206,1,"For example, some works extend CQL~\citep{kumar2020conservative}, a well-known single-agent offline RL algorithm, to multi-agent settings~\cite{pan2022plan,shao2024counterfactual}. Others adopt the popular DICE framework, which regulates policies in the occupancy space to address out-of-distribution (OOD) issues in both competitive and cooperative settings~\cite{matsunaga2023alberdice,bui2025comadice}. Additionally, \citep{wang2024offline_OMIGA} explore a policy constraint framework to tackle OOD problems. Some studies apply sequence modeling techniques to solve offline MARL using supervised learning approaches~\citep{meng2023offline,tseng2022offline}.",2501.18944,Related Work
3102371,2,"For MaMujoco tasks, 1k trajectory pairs were sampled, while for SMAC tasks, 2k trajectory pairs were sampled. Table~\ref{tab:data} summarizes the dataset details, including state dimensions, action dimensions, sample sizes, and average returns.",2501.18944,Additional Details
3102212,2,"\paragraph{MaxEnt Reinforcement Learning.}MaxEnt Reinforcement Learning.
Standard RL optimizes a policy that maximizes the expected discounted cumulative rewards $\mathbb{E}_{\pi_{tot}} \left[ \sum_{t=0}^{\infty} \gamma^t r(\bs_t, \ba_t) \right]$\mathbb{E}_{\pi_{tot}}\pi_{tot}tot \left[ \sum_{t=0}t=0^{\infty}\infty \gamma^t r(\bs_t, \ba_t) \right]\footnote{We adapt the formulas from single-agent MaxEnt RL to the multi-agent setting, ensuring consistency in notation.}, where $(\bs_t, \ba_t)$(\bs_t, \ba_t) are sampled at each time step $t$t from the trajectory distribution induced by the joint policy $\pi_{tot}$\pi_{tot}tot.  In a generalized MaxEnt RL,  the standard reward objective is augmented with a KL-divergence term between the joint policy and a behavior $\mu_{tot}$\mu_{tot}tot that generates the offline dataset, as follows: 
\[
\mathbb{E}_{\pi_{tot}} \bigg[ \sum\nolimits_{t=0}^{\infty} \gamma^t \Big( r(\bs_t, \ba_t) - \beta \log \frac{\pi_{tot}(\ba_t | \bs_t)}{\mu_{tot}(\ba_t | \bs_t)} \Big) \bigg],
\]
\mathbb{E}_{\pi_{tot}}\pi_{tot}tot \bigg[ \sum\nolimits_{t=0}t=0^{\infty}\infty \gamma^t \Big( r(\bs_t, \ba_t) - \beta \log \frac{\pi_{tot}(\ba_t | \bs_t)}{\mu_{tot}(\ba_t | \bs_t)} \Big) \bigg],",2501.18944,Background
3102262,2,"\caption{Return comparisons on MaMujoco tasks}
\label{tab:mujoco:return}",2501.18944,Experiments
3102275,2,"\bibliography{refs}
\bibliographystyle{icml2025}icml2025",2501.18944,Impact Statement
3102199,2,"A recent promising approach is to train agents using human preference data, a more resource-efficient form of feedback called Reinforcement Learning from Human Feedback (RLHF). This allows agents to learn behaviors aligned with human intentions. RLHF has proven effective in both single-agent control~\cite{christiano2017deep,mukherjee2024optimal,lee2021pebble,shin2023benchmarks,hejna2024inverse} and natural language tasks~\cite{stiennon2020learning,ouyang2022training,rafailov2024direct}. However, RLHF in multi-agent environments is still underexplored, as simply extending single-agent methods is insufficient due to the complex interdependencies between agents’ policies.",2501.18944,Introduction
3102279,2,"We observe that under the assumption that the mixing networks are linear in their inputs, the function \( R_w[\bq, \bv](\bs, \ba) \) is linear in \( \bq(\bs, \ba) \) and \( \theta \). This implies that for any \( \alpha \in [0,1] \) and for any two vectors of local Q values \( \bq^1, \bq^2 \), we have:
\[
\alpha R_w[\bq^1, \bv](\bs, \ba) + (1-\alpha) R_w[\bq^2, \bv](\bs, \ba) = R_w[\alpha\bq^1 + (1-\alpha)\bq^2, \bv](\bs, \ba).
\]",2501.18944,Missing Proofs
3102219,2,"A common approach in PbRL is to model the expert's preferences using the simple and intuitive Bradley-Terry model \citep{bradley1952rank}, which computes the probability of the expert preferring \(\sigma_1\)\sigma_1 over \(\sigma_2\)\sigma_2 (denoted as \(\sigma_1 \succ \sigma_2\)\sigma_1 \succ \sigma_2) as:
\[
P(\sigma_1 \succ \sigma_2) = \frac{e^{\sum_{(\bs,\ba)\in \sigma_1} r_E(\bs,\ba)}}{e^{\sum_{(\bs,\ba)\in \sigma_1} r_E(\bs,\ba)}+ e^{\sum_{(\bs,\ba)\in \sigma_2} r_E(\bs,\ba)}}
\]
P(\sigma_1 \succ \sigma_2) = \frac{e^{\sum_{(\bs,\ba)\in \sigma_1} r_E(\bs,\ba)}}{e^{\sum_{(\bs,\ba)\in \sigma_1} r_E(\bs,\ba)}+ e^{\sum_{(\bs,\ba)\in \sigma_2} r_E(\bs,\ba)}}",2501.18944,Multi-agent Preference-based RL (PbRL)
3102254,2,"where \( \mathcal{M}_\theta[\cdot] \) \mathcal{M}_\theta[\cdot]  is a linear combination (or a one-layer mixing network) of its inputs with non-negative weights: 
\begin{align}
\mathcal{M}_\theta[\mathbf{v}(\bo | \psi_v)] &= \mathbf{v}(\bo | \psi_v)^\top W^\bo_\theta + b^\bo_\theta\\
\mathcal{M}_\theta[\mathbf{q}(\bo,\ba | \psi_q)] &= \mathbf{q}(\bo,\ba | \psi_q)^\top W^{\bo,\ba}_\theta + b^{\bo,\ba}_\theta,
\end{align}\begin{align}
\mathcal{M}_\theta[\mathbf{v}(\bo | \psi_v)] &= \mathbf{v}(\bo | \psi_v)^\top W^\bo_\theta + b^\bo_\theta\\
\mathcal{M}_\theta[\mathbf{q}(\bo,\ba | \psi_q)] &= \mathbf{q}(\bo,\ba | \psi_q)^\top W^{\bo,\ba}_\theta + b^{\bo,\ba}_\theta,
\end{align}
\mathcal{M}_\theta[\mathbf{v}(\bo | \psi_v)] &= \mathbf{v}(\bo | \psi_v)^\top W^\bo_\theta + b^\bo_\theta\\
\mathcal{M}_\theta[\mathbf{q}(\bo,\ba | \psi_q)] &= \mathbf{q}(\bo,\ba | \psi_q)^\top W^{\bo,\ba}\bo,\ba_\theta + b^{\bo,\ba}\bo,\ba_\theta,",2501.18944,Practical Algorithm
3102207,2,"\paragraph{Preference-based reinforcement learning (PbRL).}Preference-based reinforcement learning (PbRL). Early works developed general frameworks using linear approximations or Bayesian models to incorporate human feedback on policies, trajectories, and state/action pairwise comparisons into policy learning~\cite{furnkranz2012preference,akrour2012april,akrour2011preference,wilson2012bayesian}. Recent studies have shown the effectiveness of training deep neural networks in complex domains with thousands of preference queries, typically following a two-phase approach: first, supervised learning to train a reward model, then RL to optimize the policy. For example, \cite{christiano2017deep} uses the Bradley-Terry model for pairwise preferences and methods like A2C \cite{mnih2016asynchronous} to refine the policy. Subsequent studies have expanded this framework to scenarios like preference elicitation~\cite{mukherjee2024optimal,lee2021pebble}, few-shot learning~\cite{hejna2023few}, data and preference augmentation~\cite{ibarz2018reward,zhang2023flow}, list-wise learning~\cite{choi2024listwise}, hindsight preference learning~\cite{gao2024hindsight}, and Transformer-based learning~\cite{kim2023preference}.",2501.18944,Related Work
3102372,3,"The datasets constructed for this study span a diverse range of environments and tasks, ensuring comprehensive evaluation of preference learning algorithms. The inclusion of varying quality levels and both rule-based and LLM-based labeling methods provides a robust foundation for preference-based multi-agent reinforcement learning research.",2501.18944,Additional Details
3102213,3,"where $\beta$\beta is the regularization parameter. Setting $\mu_{tot}$\mu_{tot}tot to the uniform distribution reduces this to the standard MaxEnt RL objective. The regularization term enforces a conservative KL constraint, keeping the learned policy close to the behavior policy and addressing offline RL's out-of-distribution challenges \citep{haarnoja2018soft,neu2017unified}.",2501.18944,Background
3102263,3,"\paragraph{Dataset.}Dataset. There are no human-labeled preference datasets for MARL, so we create datasets for each task using two methods: (i) Rule-based method – followed by IPL \citep{hejna2024inverse}, we sample trajectory pairs from offline datasets of varying quality (e.g., poor, medium, expert) and assign binary preference labels based on dataset quality; and (ii) LLM-based method – followed by DPM \citep{kang2024dpm}, we sample pairs from offline datasets and use GPT-4o to annotate labels with prompts constructed from the global state of each trajectory (details in the appendix).",2501.18944,Experiments
3102276,3,"\newpage
\onecolumn",2501.18944,Impact Statement
3102200,3,"Only a few recent studies have developed preference-based RL algorithms for multi-agent settings~\cite{kang2024dpm,zhang2024multi}, typically using a two-phase learning framework: first, preference data trains a reward model, and then the policy is optimized. However, this approach has two main drawbacks: (i) it requires large preference datasets to cover the state and action spaces, and (ii) misalignment between the two phases can degrade policy quality.",2501.18944,Introduction
3102280,3,"Now consider the term \( \phi(R_w[\bq, \bv](\bs, \ba)) \). Since \( \phi \) is concave, we have the following inequality for any \( \alpha \in (0,1) \) and two vectors \( \bq^1, \bq^2 \):
\begin{align}
    \alpha \phi(R_w[\bq^1, \bv](\bs, \ba)) + (1-\alpha)\phi(R_w[\bq^2, \bv](\bs, \ba)) &\leq \phi\big(\alpha R_w[\bq^1, \bv](\bs, \ba) + (1-\alpha)R_w[\bq^2, \bv](\bs, \ba)\big) \nonumber \\
    &\leq \phi\big(R_w[\alpha\bq^1 + (1-\alpha)\bq^2, \bv](\bs, \ba)\big),
\end{align}
which implies the concavity of \( \phi(R_w[\bq, \bv](\bs, \ba)) \) in \( \bq \).",2501.18944,Missing Proofs
3102220,3,"where $r_E(\bs, \ba)$r_E(\bs, \ba) is the reward function of the expert. Using this model, a direct approach to recovering the expert reward function \( r_E \) r_E  involves maximizing the likelihood of the preference data \( \mathcal{P} \) \mathcal{P} , which can be formulated as follows:
\[
\max\nolimits_{r_E} \cL(r_E|\cP) = \max\nolimits_{r_E} \sum\nolimits_{(\sigma_1,\sigma_2)\in \cP} \ln P(\sigma_1 \succ \sigma_2)
\]
\max\nolimits_{r_E}r_E \cL(r_E|\cP) = \max\nolimits_{r_E}r_E \sum\nolimits_{(\sigma_1,\sigma_2)\in \cP}(\sigma_1,\sigma_2)\in \cP \ln P(\sigma_1 \succ \sigma_2)",2501.18944,Multi-agent Preference-based RL (PbRL)
3102255,3,"Here, \( W^\bo_\theta,  b^\bo_\theta , W^{\bo,\ba}_\theta,  b^{\bo,\ba}_\theta \) W^\bo_\theta,  b^\bo_\theta , W^{\bo,\ba}\bo,\ba_\theta,  b^{\bo,\ba}\bo,\ba_\theta  are the weights of the mixing networks, modeled as  hyper-networks that take the global observation \( \bo \) \bo , joint action $\ba$\ba, and the learnable parameters \( \theta \) \theta  as inputs.
In this setup, we employ the same mixing network \( \mathcal{M}_\theta \) \mathcal{M}_\theta  to combine both the local \(V\)V and  \( Q \) Q  functions, ensuring consistency and scalability in the aggregation process.",2501.18944,Practical Algorithm
3102208,3,"Training reward models aligned with human preferences can be costly, requiring large volumes of preference data, especially in complex domains. This has led to a shift towards end-to-end frameworks that directly learn optimal policies from preference data, bypassing explicit reward models. For example, ~\cite{hejna2023contrastive} and ~\cite{an2023direct} use contrastive learning to eliminate reward modeling, while ~\cite{kang2023beyond} employs information matching to learn optimal policies in one step. In ~\cite{hejna2024inverse}, the IPL algorithm learns a Q-function directly from expert preferences, instead of modeling the reward function.",2501.18944,Related Work
3102373,4,"\caption{Datasets}
\label{tab:data}",2501.18944,Additional Details
3102214,4,"In the above MaxEnt framework, the soft-Bellman operator \( \cB^* : \mathbb{R}^{\mathcal{S} \times \mathcal{A}} \to \mathbb{R}^{\mathcal{S} \times \mathcal{A}} \) \cB^* : \mathbb{R}^{\mathcal{S} \times \mathcal{A}}\mathcal{S} \times \mathcal{A} \to \mathbb{R}^{\mathcal{S} \times \mathcal{A}}\mathcal{S} \times \mathcal{A}  is defined as $(\cB^*_r Q_{tot})(\bs, \ba) = r(\bs, \ba) + \gamma \mathbb{E}_{\bs' \sim P(\cdot | \bs, \ba)} V_{tot}(\bs'),$(\cB^*_r Q_{tot}tot)(\bs, \ba) = r(\bs, \ba) + \gamma \mathbb{E}_{\bs' \sim P(\cdot | \bs, \ba)}\bs' \sim P(\cdot | \bs, \ba) V_{tot}tot(\bs'), where \( Q_{tot}\) Q_{tot}tot is the soft-global-Q function and \( V_{tot} \) V_{tot}tot  is the optimal soft-global-value function computed as a log-sum-exp of $Q_{tot}$Q_{tot}tot, as follows:
$$V_{tot}(\bs) = \beta \log \Big[\sum\nolimits_{\ba \sim \mu_{tot}(\cdot | \bs)} \mu_{tot}(\ba|\bs)\exp\Big(\frac{Q_{tot}(\bs, \ba)}{\beta}\Big)\Big]$$V_{tot}tot(\bs) = \beta \log \Big[\sum\nolimits_{\ba \sim \mu_{tot}(\cdot | \bs)}\ba \sim \mu_{tot}tot(\cdot | \bs) \mu_{tot}tot(\ba|\bs)\exp\Big(\frac{Q_{tot}(\bs, \ba)}{\beta}\Big)\Big]
 The Bellman equation $(\cB^*_r Q_{tot}) = Q_{tot}$(\cB^*_r Q_{tot}tot) = Q_{tot}tot will yield a unique optimal global Q-function $Q^*_{tot}$Q^*_{tot}tot and the corresponding optimal policy is given by \citep{haarnoja2018soft}:
\begin{equation}\label{eq:maxent-soft-policy}
\pi^*_{tot}(\ba|\bs) = \mu_{tot}(\ba|\bs) \exp\Big(\frac{Q^*_{tot}(\bs, \ba) - V^*_{tot}(\bs)}{\beta}\Big).    
\end{equation}\begin{equation}\label{eq:maxent-soft-policy}
\pi^*_{tot}(\ba|\bs) = \mu_{tot}(\ba|\bs) \exp\Big(\frac{Q^*_{tot}(\bs, \ba) - V^*_{tot}(\bs)}{\beta}\Big).    
\end{equation}\label{eq:maxent-soft-policy}
\pi^*_{tot}tot(\ba|\bs) = \mu_{tot}tot(\ba|\bs) \exp\Big(\frac{Q^*_{tot}(\bs, \ba) - V^*_{tot}(\bs)}{\beta}\Big).",2501.18944,Background
3102264,4,"Specifically, we used offline datasets of varying quality from OMIGA \citep{wang2024offline_OMIGA} and ComaDICE \citep{bui2025comadice}, sampling one thousand pairs for MaMujoco tasks and two thousand pairs for SMAC tasks. For MaMujoco, we selected ``medium-replay'', ``medium'', and ``expert'' instances, while for SMACv1, we chose ``poor'', ``medium'', and ``good'' instances. Note that ComaDICE only provides a ``medium'' dataset for SMACv2, therefore, we generated new ``poor'' and ``expert'' datasets for SMACv2. Additionally, LLM-based prompts require detailed information from trajectory states (e.g., SMAC: remaining health points, shields, relative positions, cooldown time, agent types, action meanings), which we cannot extract from MaMujoco states. Therefore, we have no LLM-based dataset for MaMujoco tasks.",2501.18944,Experiments
3102201,4,"In this work, we investigate multi-agent preference-based RL (PbRL), focusing on the offline learning setting where agents do not interact with the environment but instead have access to an offline dataset of pairwise trajectory preferences. Unlike previous studies in multi-agent PbRL, we propose an end-to-end learning approach that directly trains agents’ policies from preference data, without relying on an explicit reward model. Our main contributions are as follows:",2501.18944,Introduction
