id,paragraph_id,paper_section,paper_arxiv_id,reference_label,reference_type
6214976,63,Appendix,2412.17622v2,tab:ffhq_precision_density,table
6214851,6,Experiments,2401.03462v3,tab:effectiveness,table
6214853,11,Experiments,2401.03462v3,tab:efficiency,table
6214856,16,Experiments,2401.03462v3,tab:short,table
6214857,18,Experiments,2401.03462v3,tab:ablation,table
6214977,63,Appendix,2412.17622v2,tab:lsun_precision_density,table
6215088,19,Experimental Evaluation,2503.02407v4,tab:evaluation-symmetry,table
6214999,7,Experimental Results,2412.01564v1,tab:validity_metrics,table
6215001,9,Experimental Results,2412.01564v1,tab:posebusters_metrics,table
6215002,12,Experimental Results,2412.01564v1,tab:conditional_results,table
6215004,0,Further Analysis,2412.01564v1,tab:refframe_analysis,table
6215005,2,Further Analysis,2412.01564v1,tab:linovar_analysis,table
6215010,3,Further Analysis on Structural Alphabets.,2412.01564v1,tab:ablat_recon,table
6215089,19,Experimental Evaluation,2503.02407v4,tab:evaluation-similarity,table
6215093,29,Experimental Evaluation,2503.02407v4,tab:energy_bandgap,table
6215036,1,Experiments and Evaluation,2409.14012v3,tab:dataset_info,table
6215044,12,Prediction Length Analysis and Ablation Study,2409.14012v3,tab:ttt_moderntcn_results,table
6215094,30,Experimental Evaluation,2503.02407v4,tab:aflow,table
6215095,1,Conclusions and Limitations,2503.02407v4,tab:inference-time,table
6215097,0,Inference speed,2503.02407v4,tab:inference-time,table
6215099,5,DFT details,2503.02407v4,tab:evaluation-symmetry,table
6215100,0,Legacy metrics,2503.02407v4,tab:legacy-metrics,table
6215101,0,Evaluation on MP-20 binary \& ternary,2503.02407v4,tab:biternay-symmetry,table
6215102,0,Evaluation on MP-20 binary \& ternary,2503.02407v4,tab:biternary-similarity,table
6215103,4,Fine-tuning LLM with Wyckoff representation,2503.02407v4,tab:wy-llm-metrics,table
6215123,8,Numerical Experiments,2312.12556v1,tbl:result_asr,table
6215251,30,Experiments,2503.07315v1,tab:main_exp,table
6215124,8,Numerical Experiments,2312.12556v1,tbl:result_l1,table
6215253,31,Experiments,2503.07315v1,tab:main_exp,table
6215256,33,Experiments,2503.07315v1,tab:main_exp,table
6215125,8,Numerical Experiments,2312.12556v1,tbl:result_l2,table
6215151,1,Results and Discussion,2410.07582v2,tab:wikimia_tpr_at_low_fpr,table
6215283,2,Experimental Details,2503.07315v1,tab:hyper-base,table
6215284,3,Experimental Details,2503.07315v1,tab:hyper-outer,table
6215285,3,Experimental Details,2503.07315v1,tab:hyper-inner,table
6215153,9,Results and Discussion,2410.07582v2,tab:olmomia_tpr_at_low_fpr,table
6215287,7,Experimental Details,2503.07315v1,tab:runtime,table
6215288,9,Experimental Details,2503.07315v1,tab:detail_exp,table
6215161,7,TPR@1\%FPR Results,2410.07582v2,tab:wikimia_tpr_at_low_fpr,table
6215289,5,What if We Can Retrain the Full Network with ?,2503.07315v1,tab:cmnist-s,table
6215313,4,Experiments,2506.06033v1,tab:main,table
6215162,7,TPR@1\%FPR Results,2410.07582v2,tab:olmomia_tpr_at_low_fpr,table
6215314,4,Experiments,2506.06033v1,tab:new,table
6215333,6,Experiments,2506.06033v1,tab:ft,table
6215315,4,Experiments,2506.06033v1,tab:qwen,table
6215317,4,Experiments,2506.06033v1,tab:main,table
6215319,4,Experiments,2506.06033v1,tab:new,table
6215334,6,Experiments,2506.06033v1,tab:main,table
6215335,6,Experiments,2506.06033v1,tab:ft,table
6215420,12,$$ in In-context Learning Setting,2506.06033v1,tab:main,table
6215320,4,Experiments,2506.06033v1,tab:main,table
6215322,4,Experiments,2506.06033v1,tab:main,table
6215324,4,Experiments,2506.06033v1,tab:new,table
6215325,4,Experiments,2506.06033v1,tab:main,table
6215327,4,Experiments,2506.06033v1,tab:main,table
6215329,4,Experiments,2506.06033v1,tab:new,table
6215330,4,Experiments,2506.06033v1,tab:main,table
6215421,12,$$ in In-context Learning Setting,2506.06033v1,tab:appmain,table
6215426,14,$$ in In-context Learning Setting,2506.06033v1,tab:new,table
6215427,14,$$ in In-context Learning Setting,2506.06033v1,tab:appnew,table
6215432,0,Scaling Up $$ into Real-world Applications,2506.06033v1,tab:llm,table
6215433,0,Scaling Up $$ into Real-world Applications,2506.06033v1,tab:main,table
6215446,4,$$ in Fine-tuning Setting,2506.06033v1,tab:ft,table
6215447,4,$$ in Fine-tuning Setting,2506.06033v1,tab:appft,table
6215449,0,In-Depth Analysis of $$,2506.06033v1,tab:ran,table
6215450,0,In-Depth Analysis of $$,2506.06033v1,tab:ran,table
6215451,0,In-Depth Analysis of $$,2506.06033v1,tab:main,table
6215452,0,In-Depth Analysis of $$,2506.06033v1,tab:appmain,table
6215462,3,In-Depth Analysis of $$,2506.06033v1,tab:duplicate,table
6215463,4,In-Depth Analysis of $$,2506.06033v1,tab:duplicate,table
6215466,4,MWP-Mistake Dataset,2406.10834v1,tab:dataset,table
6215468,6,MWP-Mistake Dataset,2406.10834v1,tab:dataset,table
6215469,7,MWP-Mistake Dataset,2406.10834v1,tab:dataset,table
6215473,1,Results and Analysis,2406.10834v1,tab:md_t1,table
6215476,24,Results and Analysis,2406.10834v1,tab:rect_t1,table
6215477,26,Results and Analysis,2406.10834v1,tab:rect_t1,table
6215479,0,SLMs reasoning steps,2406.10834v1,tab:slm_example,table
6215480,1,METEOR and BertScore results,2406.10834v1,tab:bert,table
6215481,1,METEOR and BertScore results,2406.10834v1,tab:meteor,table
6215617,15,Experimental Evaluation,2412.07762v3,table:robot-evals,table
6215666,13,Experimentens,2409.15700v1,table:mteb,table
6215667,19,Experimentens,2409.15700v1,table:air_qa,table
6215668,19,Experimentens,2409.15700v1,table:air_longdoc,table
6215669,25,Experimentens,2409.15700v1,table:icl,table
6215670,31,Experimentens,2409.15700v1,table:bi,table
6215671,37,Experimentens,2409.15700v1,table:prompts,table
6215675,8,Multilingual Embedding Model,2409.15700v1,table:evalinstructions,table
6215676,8,Multilingual Embedding Model,2409.15700v1,table:multilingual_evalinstructions,table
6215677,11,Multilingual Embedding Model,2409.15700v1,table:miracl_ndcg_results,table
6215678,11,Multilingual Embedding Model,2409.15700v1,table:miracl_recall_results,table
6215679,13,Multilingual Embedding Model,2409.15700v1,table:fr_mteb_results,table
6215680,13,Multilingual Embedding Model,2409.15700v1,table:pl_mteb_results,table
6215681,13,Multilingual Embedding Model,2409.15700v1,table:c_mteb_results,table
6215682,14,Multilingual Embedding Model,2409.15700v1,table:mteb,table
6215683,14,Multilingual Embedding Model,2409.15700v1,table:fullmteb,table
6215684,15,Multilingual Embedding Model,2409.15700v1,table:air_qa_en_zh,table
6215685,15,Multilingual Embedding Model,2409.15700v1,table:air_longdoc,table
6215686,9,Lightweight Re-ranker,2409.15700v1,table:reins,table
6215687,10,Lightweight Re-ranker,2409.15700v1,table:rerank_inst,table
6214451,12,Experiments,2507.04683v1,tab:generalization,table
6214464,12,Details for Experimental Setup,2507.04683v1,tab:hyperparameter_ws,table
6214465,12,Details for Experimental Setup,2507.04683v1,tab:hyperparameter_gen,table
6214468,4,Generalization results with learning rate decay,2507.04683v1,tab:generalization_lr_decay,table
6215518,34,Knowledge acquisition and forgetting,2410.01380v3,table-hp,table
6215519,36,Knowledge acquisition and forgetting,2410.01380v3,table-hp,table
6215520,37,Knowledge acquisition and forgetting,2410.01380v3,table-hp,table
6215544,3,Experiments,2501.15564v2,tab:diffusionmethodresults,table
6215556,16,Experiments,2501.15564v2,tab:param,table
6215559,7,Experimental details,2501.15564v2,tab:param,table
6215560,9,Experimental details,2501.15564v2,tab:param,table
6215562,1,Details on delivery vehicle experiments,2501.15564v2,tab:vehicleparam,table
6215565,3,Experiments,2410.15570v1,tab:zero_shot_nlu_tasks,table
6215566,6,Experiments,2410.15570v1,tab:qualitative_sample,table
6215567,7,Experiments,2410.15570v1,tab:qualitative_sample,table
6215569,4,Evaluation,2411.10389v1,table:iou_metric,table
6215570,13,Evaluation,2411.10389v1,table:iou_metric,table
6215769,10,Experiment,2412.06843v2,table:quality,table
6215781,13,Appendix,2412.06843v2,table:quality_appendix,table
6215783,17,Appendix,2412.06843v2,table:fewer_harmuful_examples_STL_appendix,table
6215785,5,Analysis,2407.07061v2,tab:teamup,table
6215795,6,Experiments,2502.16593v1,table:main,table
6215796,7,Experiments,2502.16593v1,table:main,table
6215797,8,Experiments,2502.16593v1,table:qapair,table
6215798,9,Experiments,2502.16593v1,table:qapair,table
6215800,13,Experiments,2502.16593v1,table:input,table
6215801,13,Experiments,2502.16593v1,table:main,table
6215802,14,Experiments,2502.16593v1,table:prune,table
6215806,2,Additional Implementation Details,2502.16593v1,table:sup_train_detail,table
6215814,0,Additional Experimental Results,2502.16593v1,table:sup_add_task,table
6215815,1,Additional Experimental Results,2502.16593v1,table:sup_add_unrelated,table
6215816,2,Additional Experimental Results,2502.16593v1,table:sup_add_trans,table
6215817,3,Additional Experimental Results,2502.16593v1,table:sup_add_other,table
6215818,0,Additional Ablation Studies,2502.16593v1,table:sup_abla_module,table
6215688,19,Lightweight Re-ranker,2409.15700v1,table:beir_rerank_bge,table
6215689,19,Lightweight Re-ranker,2409.15700v1,table:beir_rerank_e5,table
6215690,22,Lightweight Re-ranker,2409.15700v1,table:miracl_rerank,table
6215704,2,Results and Discussion,2412.01348v2,performance-table,table
6215705,7,Appendix,2412.01348v2,obs_table,table
6215706,21,Appendix,2412.01348v2,diff_depths,table
6215422,12,$$ in In-context Learning Setting,2506.06033v1,tab:main,table
6215723,4,Experiments,2410.08164v1,tab:main_result,table
6215726,8,Experiments,2410.08164v1,tab:rag_ablation_study_result,table
6215819,2,Additional Ablation Studies,2502.16593v1,table:sup_abla_per,table
6215820,4,Additional Ablation Studies,2502.16593v1,table:sup_abla_step,table
6215734,0,Agent-Computer Interface,2410.08164v1,tab:agent_actions,table
6215423,13,$$ in In-context Learning Setting,2506.06033v1,tab:appadd,table
6215735,2,Agent-Computer Interface,2410.08164v1,tab:aci_ablation_study_result,table
6215913,1,Experiments,2507.21648v1,table:synth_performance,table
6215915,3,Experiments,2507.21648v1,table:cnn_performance,table
6215835,7,Experiments,2412.20299v2,tab:dialogeval,table
6215836,9,Experiments,2412.20299v2,tab:model_opinion_example,table
6215837,13,Experiments,2412.20299v2,tab:review_data_splits,table
6215917,5,Experiments,2507.21648v1,table:otherdnalms,table
6215424,13,$$ in In-context Learning Setting,2506.06033v1,tab:mainadd,table
6215921,9,Experiments,2507.21648v1,table:gue_performance,table
6216067,5,Efficient Hypernetwork Implementation,2502.04495v2,tab:hypernetwork_efficiency,table
6215926,14,Experiments,2507.21648v1,table:deltas,table
6215935,7,Appendix,2507.21648v1,table:teb_construction,table
6215936,12,Appendix,2507.21648v1,table:otherdnalms,table
6216009,18,Experiments,2502.04495v2,tab:symbolic_regression,table
6216012,21,Experiments,2502.04495v2,tab:symbolic_regression,table
6216021,7,FAQ \& Discussions,2502.04495v2,tab:notation,table
6216023,7,FAQ \& Discussions,2502.04495v2,tab:notation,table
6215942,23,Appendix,2507.21648v1,table:homol_split,table
6216075,24,Preconditioner Diagonalization with Gradient Projection,2502.07488v1,tab:optimizer_memory,table
6215943,25,Appendix,2507.21648v1,table:hybrids,table
6215947,29,Appendix,2507.21648v1,table:deltas,table
6216025,7,FAQ \& Discussions,2502.04495v2,tab:notation,table
6216049,5,Datasets,2502.04495v2,tab:me-pendulum,table
6216084,4,Experiments,2502.07488v1,tb:image,table
6216050,7,Datasets,2502.04495v2,tab:me_lotka_volterra,table
6216053,11,Datasets,2502.04495v2,tab:me-sirepidemic,table
6215956,3,Invariant Function Learning for Dynamical System,2502.04495v2,tab:notation,table
6215957,3,Invariant Function Learning for Dynamical System,2502.04495v2,tab:notation,table
6216086,7,Experiments,2502.07488v1,tb:llama,table
6215960,6,Invariant Function Learning for Dynamical System,2502.04495v2,tab:environment_comparison,table
6215961,6,Invariant Function Learning for Dynamical System,2502.04495v2,tab:environment_comparison,table
6216062,10,Supplementary Experiments,2502.04495v2,tab:symbolic_regression_comparisons,table
6216092,7,Memory-efficient optimizers with factorized moment estimates,2502.07488v1,tab:optimizer_memory,table
6216144,14,Experiments,2501.10139v2,table:app_extra_expt_pca,table
6215962,6,Invariant Function Learning for Dynamical System,2502.04495v2,tab:environment_comparison,table
6216095,7,Memory-efficient optimizers with factorized moment estimates,2502.07488v1,tb:llama-adafacdiag,table
6216147,16,Experiments,2501.10139v2,table:main_results_fitzpatrick,table
6216099,18,Memory-efficient optimizers with factorized moment estimates,2502.07488v1,tab:optimizer_memory,table
6216161,6,Additional experimental results,2501.10139v2,tab:correlation_results,table
6216164,9,Additional experimental results,2501.10139v2,table:app_extra_expt_pca,table
6216216,10,Evaluating the Utility of ,2405.13967v5,tab:tox-baseline-summary,table
6216217,12,Evaluating the Utility of ,2405.13967v5,tab:tox-baseline-summary,table
6216103,2,Hyperparameter Settings,2502.07488v1,tab:llama_settings,table
6216218,12,Evaluating the Utility of ,2405.13967v5,tab:tox-baseline-comparison,table
6216219,1,A Closer Look at ,2405.13967v5,tab:layerwise-ablation-gpt2,table
6216166,11,Additional experimental results,2501.10139v2,table:full_appendix_results,table
6216168,3,Preliminaries,2405.13967v5,tab:pref-data-samples,table
6216138,10,Experiments,2501.10139v2,table:main_results,table
6216169,3,Preliminaries,2405.13967v5,tab:proj-censored,table
6216170,1,: Editing Weights through Projections on Subspaces,2405.13967v5,tab:proj-censored,table
6216221,2,A Closer Look at ,2405.13967v5,tab:proj-censored-l16,table
6216222,2,A Closer Look at ,2405.13967v5,tab:proj-censored,table
6216224,2,Beyond Toxicity,2405.13967v5,tab:gpt4-prompt,table
6216172,3,: Editing Weights through Projections on Subspaces,2405.13967v5,tab:proj-censored,table
6216322,18,The Local Complexity of ReLU Networks,2412.18283v3,eq:lc_estimate,table
6216173,4,: Editing Weights through Projections on Subspaces,2405.13967v5,tab:proj-censored,table
6216174,7,: Editing Weights through Projections on Subspaces,2405.13967v5,tab:proj-censored,table
6216176,2,Experimental Setup,2405.13967v5,tab:pref-data-samples,table
6216225,2,Beyond Toxicity,2405.13967v5,tab:results-hh-rlhf,table
6216226,3,Beyond Toxicity,2405.13967v5,tab:other-prefs-full,table
6216227,3,Beyond Toxicity,2405.13967v5,tab:qualitative-eg1,table
6216228,3,Beyond Toxicity,2405.13967v5,tab:qualitative-eg2,table
6216177,1,Editing with  is a Robust and Sample Efficient Replacement to DPO,2405.13967v5,tab:main-results,table
6216179,1,Editing with  is a Robust and Sample Efficient Replacement to DPO,2405.13967v5,tab:sample-complexity-gpt2,table
6216332,7,Connections to the Rank of Learned Representations,2412.18283v3,cor:lcbounds,table
6216182,3,Editing with  is a Robust and Sample Efficient Replacement to DPO,2405.13967v5,tab:tox-baseline-summary,table
6216237,2,Experiments,2410.01485v2,tab:needle_baseline_compare,table
6216238,2,Experiments,2410.01485v2,tab:all_methods,table
6216184,4,Editing with  is a Robust and Sample Efficient Replacement to DPO,2405.13967v5,tab:proj-censored,table
6216239,2,Experiments,2410.01485v2,tab:needle_baseline_compare,table
6216333,8,Connections to the Rank of Learned Representations,2412.18283v3,cor:lcbounds,table
6216241,3,Experiments,2410.01485v2,tab:all_methods,table
6216185,4,Editing with  is a Robust and Sample Efficient Replacement to DPO,2405.13967v5,tab:centering-ablation-gpt2,table
6216188,5,Editing with  is a Robust and Sample Efficient Replacement to DPO,2405.13967v5,tab:layerwise-ablation-gpt2,table
6216242,5,Experiments,2410.01485v2,tab:7b_70b,table
6216334,9,Connections to the Rank of Learned Representations,2412.18283v3,cor:LRcor,table
6216246,10,Experiments,2410.01485v2,tab:position_abl,table
6216198,1,Datasets,2405.13967v5,tab:pref-data-samples,table
6216358,9,"The Drop of Local Complexity, and a Connection to Grokking",2412.18283v3,cor:globalmin,table
6216199,5,Datasets,2405.13967v5,tab:dataset-details,table
6216200,4,Implementation Details,2405.13967v5,tab:computational-cost,table
6216202,3,Evaluating the Utility of ,2405.13967v5,tab:label-noise-robustness-gpt2,table
6216204,4,Evaluating the Utility of ,2405.13967v5,tab:sample-complexity-gpt2,table
6216206,5,Evaluating the Utility of ,2405.13967v5,tab:append-proj-censored-1,table
6216247,11,Experiments,2410.01485v2,tab:number_abl,table
6216261,6,Experiments,2407.14206v2,tab:combined_baselines,table
6216262,6,Experiments,2407.14206v2,tab:effectiveness_small_xsir_gumbel,table
6216263,7,Experiments,2407.14206v2,tab:combined_baselines,table
6216264,8,Experiments,2407.14206v2,tab:combined_baselines,table
6216266,9,Experiments,2407.14206v2,tab:effectiveness_small_xsir_gumbel,table
6216207,5,Evaluating the Utility of ,2405.13967v5,tab:proj-censored,table
6216362,11,"The Drop of Local Complexity, and a Connection to Grokking",2412.18283v3,prop:repcost,table
6216209,7,Evaluating the Utility of ,2405.13967v5,tab:toxic-responses-1,table
6216210,7,Evaluating the Utility of ,2405.13967v5,tab:toxic-responses-2,table
6216267,9,Experiments,2407.14206v2,tab:gumbel_example,table
6216269,10,Experiments,2407.14206v2,tab:impact_of_K_alpha_opt_unigram,table
6216407,129,Main Theoretical Results,2412.18283v3,cor:lcbounds,table
6216270,12,Experiments,2407.14206v2,tab:impact_of_K_alpha_opt_unigram,table
6216274,80,More on Experiments,2407.14206v2,tab:combined_baselines,table
6216281,14,:  with Cluster-wise Aggregation,2407.03038v3,algo,table
6216283,1,Federated Human Preference Benchmark,2407.03038v3,tab:datasets,table
6216211,8,Evaluating the Utility of ,2405.13967v5,tab:main-results,table
6216212,8,Evaluating the Utility of ,2405.13967v5,tab:llm-zero-shot-mistral,table
6216213,8,Evaluating the Utility of ,2405.13967v5,tab:llm-zero-shot-mistral-sft,table
6216214,8,Evaluating the Utility of ,2405.13967v5,tab:llm-zero-shot-opt,table
6216215,8,Evaluating the Utility of ,2405.13967v5,tab:llm-zero-shot-gptj,table
6216290,7,Experiments,2407.03038v3,table:summarization,table
6216411,155,Main Theoretical Results,2412.18283v3,thm:LRLC,table
6216291,9,Experiments,2407.03038v3,table:summarization,table
6216462,6,More Information on Empirical Studies,2412.18283v3,cor:lcbounds,table
6216412,162,Main Theoretical Results,2412.18283v3,cor:lcbounds,table
6216473,15,More Information on Empirical Studies,2412.18283v3,thm:TVLC,table
6216292,10,Experiments,2407.03038v3,table:qa_task,table
6216293,11,Experiments,2407.03038v3,table:qa_task,table
6216413,175,Main Theoretical Results,2412.18283v3,cor:lcbounds,table
6216294,12,Experiments,2407.03038v3,table:summarization,table
6216295,12,Experiments,2407.03038v3,table:qa_task,table
6216475,15,More Information on Empirical Studies,2412.18283v3,thm:TVLC,table
6216414,190,Main Theoretical Results,2412.18283v3,cor:lcbounds,table
6216495,14,Calibration Measurement of LLM-based guard models,2410.10414v2,model_dep,table
6216496,15,Calibration Measurement of LLM-based guard models,2410.10414v2,model_dep,table
6216297,7,Implementation Details and Hyperparameters,2407.03038v3,tab:datasets,table
6216299,10,Implementation Details and Hyperparameters,2407.03038v3,table:summarization_model_size,table
6216415,209,Main Theoretical Results,2412.18283v3,cor:LRcor,table
6216499,9,Improving the Calibration of LLM-based Guard Models,2410.10414v2,table3,table
6216502,5,Discussion,2410.10414v2,table4,table
6216416,209,Main Theoretical Results,2412.18283v3,thm:LRLC,table
6216503,6,Discussion,2410.10414v2,table5,table
6216594,5,Results,2410.02064v3,perplexity-impact,table
6216417,209,Main Theoretical Results,2412.18283v3,thm:LRLC,table
6216597,7,Results,2410.02064v3,individual-recognition,table
6216504,0,Appendix,2410.10414v2,table:app_data,table
6216505,9,Appendix,2410.10414v2,app:model_dep,table
6216418,211,Main Theoretical Results,2412.18283v3,thm:LRLC,table
6216506,14,Appendix,2410.10414v2,app:guard_model_card,table
6216606,16,Results,2410.02064v3,top-activating-texts,table
6216419,211,Main Theoretical Results,2412.18283v3,thm:LRLC,table
6216617,21,Results,2410.02064v3,text-coloring-zeroed,table
6216515,17,Appendix,2410.10414v2,app:adv_results,table
6216516,17,Appendix,2410.10414v2,app:adv_model_dep,table
6216619,502,Appendix,2410.02064v3,individual-recognition-no-context,table
6216420,211,Main Theoretical Results,2412.18283v3,thm:LRLC,table
6216620,504,Appendix,2410.02064v3,vecsims,table
6216517,21,Appendix,2410.10414v2,app:guard_model_card,table
6216518,0,Additional Experiments,2410.10414v2,app:ts_valid,table
6216421,212,Main Theoretical Results,2412.18283v3,prop:tvadv,table
6216519,4,Additional Experiments,2410.10414v2,app:abl_length,table
6216628,4,Experiments,2502.21186v2,table:stochastic,table
6216629,5,Experiments,2502.21186v2,table:deterministic_mujoco,table
6216422,217,Main Theoretical Results,2412.18283v3,thm:TVLC,table
6216630,7,Experiments,2502.21186v2,tab:antmaze_results,table
6216520,6,Additional Experiments,2410.10414v2,app:model_comparison,table
6216522,8,Additional Experiments,2410.10414v2,app:fpr_fnr,table
6216426,224,Main Theoretical Results,2412.18283v3,cor:lcbounds,table
6216530,7,Experiment,2410.13264v1,table:result_PED,table
6216430,231,Main Theoretical Results,2412.18283v3,cor:lcbounds,table
6216533,11,Experiment,2410.13264v1,table:result_large,table
6216434,243,Main Theoretical Results,2412.18283v3,cor:lcbounds,table
6216535,19,Experiment,2410.13264v1,table:result_large,table
6216537,25,Experiment,2410.13264v1,table:abalation_PED,table
6216435,246,Main Theoretical Results,2412.18283v3,prop:repcost,table
6216442,265,Main Theoretical Results,2412.18283v3,prop:kernelLC,table
6216902,2, dataset,2410.05340v2,tab:statistics_data,table
6216447,268,Main Theoretical Results,2412.18283v3,cor:globalmin,table
6216908,5, dataset,2410.05340v2,tab:statistics_data,table
6216839,12,Experiments,2502.05400v3,table2,table
6216848,17,Conclusion,2502.05400v3,table3,table
6216988,0,Qualitative Analysis,2410.05340v2,tab:main_results,table
6216849,17,Conclusion,2502.05400v3,table4,table
6216850,29,Conclusion,2502.05400v3,table5,table
6216852,30,Conclusion,2502.05400v3,table7,table
6216853,48,Conclusion,2502.05400v3,table3,table
6216854,48,Conclusion,2502.05400v3,table4,table
6216920,1,Experiment Results,2410.05340v2,tab:main_results,table
6216922,3,Experiment Results,2410.05340v2,tab:main_results,table
6216923,4,Experiment Results,2410.05340v2,tab:main_results,table
6216926,8,Experiment Results,2410.05340v2,table:HITL,table
6216928,10,Experiment Results,2410.05340v2,table:Correct_Answers,table
6216855,60,Conclusion,2502.05400v3,table5,table
6217019,1,Experiments,2502.00330v1,tab:gemini-pro-bbh,table
6216857,61,Conclusion,2502.05400v3,table7,table
6216858,0,Details of Experimental setup,2502.05400v3,table3,table
6217073,143,Implementation Details,2502.00330v1,tab:gemini-pro-bird,table
6217020,1,Experiments,2502.00330v1,tab:gemini-pro-bbh,table
6217074,232,Implementation Details,2502.00330v1,tab:gemini-pro-bbh,table
6216859,0,Details of Experimental setup,2502.05400v3,table4,table
6216860,0,DNPO vs. SPIN: Evaluation under Three Traditional Metrics,2502.05400v3,table5,table
6217075,232,Implementation Details,2502.00330v1,tab:gemini-flash-bbh,table
6217021,1,Experiments,2502.00330v1,tab:gemini-pro-bbh-n_demo,table
6217076,232,Implementation Details,2502.00330v1,tab:gemini-pro-bbh,table
6216862,0,Comparison of Fixed vs. Trainable Noise in DNPO,2502.05400v3,table7,table
6217023,1,Experiments,2502.00330v1,tab:gemini-flash-bbh,table
6216871,5,Experiments,2503.13828v1,tab:ablation,table
6216872,16,Experiments,2503.13828v1,tab:noise_type,table
6217077,232,Implementation Details,2502.00330v1,tab:gemini-flash-bbh,table
6217078,2,Additional Experiments and Results,2502.00330v1,tab:gemini-pro-bbh-rs-comp,table
6217024,1,Experiments,2502.00330v1,tab:mistral-bbh,table
6217079,2,Additional Experiments and Results,2502.00330v1,tab:gemini-flash-bbh-rs-comp,table
6217080,5,Additional Experiments and Results,2502.00330v1,tab:gemini-pro-heuristic-comparison,table
6216874,17,Experiments,2503.13828v1,tab:backbone,table
6216880,8,Appendix,2503.13828v1,tab:params,table
6217025,1,Experiments,2502.00330v1,tab:mistral-nemo-bbh,table
6217083,5,Additional Experiments and Results,2502.00330v1,tab:gemini-pro-heuristic-comparison,table
6217026,1,Experiments,2502.00330v1,tab:claude-bbh,table
6217086,6,Additional Experiments and Results,2502.00330v1,tab:bridge_with_heuristics_agg,table
6217087,6,Additional Experiments and Results,2502.00330v1,tab:bridge_with_heuristics_detail,table
6217027,1,Experiments,2502.00330v1,tab:mistral-bbh,table
6217088,6,Additional Experiments and Results,2502.00330v1,tab:gemini-pro-heuristic-comparison,table
6217028,1,Experiments,2502.00330v1,tab:mistral-nemo-bbh,table
6217089,6,Additional Experiments and Results,2502.00330v1,tab:bridge_with_heuristics_agg,table
6217029,1,Experiments,2502.00330v1,tab:claude-bbh,table
6217090,6,Additional Experiments and Results,2502.00330v1,tab:bridge_with_heuristics_detail,table
6217091,6,Additional Experiments and Results,2502.00330v1,tab:gemini-pro-heuristic-comparison,table
6217030,1,Experiments,2502.00330v1,tab:gemini-pro-math,table
6217092,7,Additional Experiments and Results,2502.00330v1,tab:bbh-restricted,table
6217031,1,Experiments,2502.00330v1,tab:gemini-pro-bbh,table
6217093,12,Additional Experiments and Results,2502.00330v1,tab:gemini-pro-bbh,table
6217094,12,Additional Experiments and Results,2502.00330v1,tab:gemini-pro-bbh-n_demo,table
6217032,1,Experiments,2502.00330v1,tab:gemini-flash-bbh,table
6217101,20,Additional Experiments and Results,2502.00330v1,tab:gemini-flash-flores,table
6217034,1,Experiments,2502.00330v1,tab:gemini-pro-bbh,table
6217102,22,Additional Experiments and Results,2502.00330v1,tab:gemini-pro-math,table
6217035,1,Experiments,2502.00330v1,tab:gemini-flash-bbh,table
6217103,22,Additional Experiments and Results,2502.00330v1,tab:transfer,table
6217104,22,Additional Experiments and Results,2502.00330v1,tab:gemini-pro-math,table
6217040,2,Experiments,2502.00330v1,tab:gemini-pro-bird,table
6217105,22,Additional Experiments and Results,2502.00330v1,tab:transfer,table
